,name,ssn,address,latlng,gender,email,city,company,job,ip_address,date_of_birth,credit_card_full,salary
10,한아름,630910-1229405,전라남도 충주시 양재천길,"(Decimal('62.702310'), Decimal('97.017535'))",M,jeongnam48@gimgim.net,고양시 일산동구,박이한,정부행정 관리자,169.145.35.215,1990-06-10,"JCB 16 digit
서현 서
3516368006158036 02/25
CVC: 581
",11.950051095515684
11,이승현,120122-1471376,인천광역시 북구 논현거리,"(Decimal('47.928110'), Decimal('-70.308451'))",M,myeongjai@gimgim.com,하남시,허진,구두 미화원,178.19.70.252,1976-06-30,"VISA 16 digit
도윤 남
4768863440954191 08/28
CVC: 798
",18.87500168056475
12,김도현,280412-1293117,전라북도 단양군 양재천793길,"(Decimal('-39.964674'), Decimal('55.850622'))",M,seonghyeonseo@hotmail.com,안양시 만안구,김최,웹 개발자,92.10.177.201,1973-06-18,"VISA 16 digit
은주 한
4202818096645091 03/29
CVC: 331
",10.652143433431474
13,민지현,600300-2521452,부산광역시 강북구 도산대53거리 (은서이양동),"(Decimal('87.1016835'), Decimal('-23.891619'))",F,minseobag@yuhanhoesa.kr,보은군,(주) 안백최,증권 및 외환 딜러,39.229.218.104,1989-08-21,"Maestro
재호 김
503811634834 11/26
CVV: 496
",76.56638341846654
14,김성민,890416-2756456,전라남도 용인시 수지구 개포가 (수민이한리),"(Decimal('66.4731735'), Decimal('-17.726569'))",M,jeongsig63@baggimsin.com,안성시,(유) 박,단열공,182.165.2.151,1961-03-17,"American Express
춘자 이
341603924961757 12/25
CID: 2025
",3.2719228476624465
15,김상호,520117-2446679,충청북도 청주시 상당구 서초중앙53거리 (서영김서동),"(Decimal('60.026801'), Decimal('-70.381856'))",M,hyeonjijang@baggwag.com,안성시,강강,상품기획 전문가,146.246.148.73,1980-01-28,"JCB 16 digit
영진 조
3541176594999672 12/21
CVC: 050
",13.865843870046866
16,최경수,130029-1638344,충청북도 서천군 석촌호수로,"(Decimal('-52.6449445'), Decimal('95.041917'))",F,hyeonjeonggim@daum.net,수원시 영통구,양김구,미용사,84.114.10.107,1984-04-26,"Maestro
지원 이
639091984414 11/26
CVV: 425
",12.654381618416691
17,최정식,540422-1984434,서울특별시 종로구 양재천길,"(Decimal('72.0228315'), Decimal('77.325765'))",F,seoyeono@noi.kr,횡성군,이장,금속 / 재료공학 시험원,93.184.242.155,1996-06-05,"JCB 16 digit
수민 장
3505767112759178 02/25
CVC: 079
",3.002408571719276
18,김정순,850803-2061424,서울특별시 북구 잠실3로 (성수이읍),"(Decimal('-38.5801655'), Decimal('-95.996504'))",M,jeongsug71@yuhanhoesa.org,고양시,(유) 김,소방관,4.159.178.88,1956-07-21,"Discover
정식 문
6560573625825323 10/30
CVC: 937
",56.90088476299746
19,홍은서,790316-1679341,광주광역시 동작구 강남대가 (주원이손동),"(Decimal('73.655208'), Decimal('-39.337179'))",M,jeongunggim@hanmail.net,안산시 단원구,황서이,매표원 및 복권 판매원,223.171.170.106,1973-04-20,"JCB 15 digit
영숙 김
180090369514321 08/28
CVC: 399
",16.704275483691188
20,이영수,420625-2187842,경기도 동두천시 양재천3로 (지민김동),"(Decimal('-53.718562'), Decimal('65.415973'))",F,ni@ii.org,청주시 흥덕구,(유) 이김김,자산 운용가,170.130.145.37,1983-11-18,"Mastercard
병철 민
2701429967983999 06/30
CVV: 260
",9.996055761897388
21,윤하윤,250103-2716621,광주광역시 양천구 봉은사376거리,"(Decimal('-26.816626'), Decimal('-170.234716'))",M,seongmin36@bagbagi.com,광주시,유한회사 권,용접원,138.48.172.207,1968-02-21,"JCB 16 digit
미숙 장
3554130884799635 02/28
CVC: 770
",20.498250257651932
22,안순자,740718-1657800,경상북도 고성군 서초대길,"(Decimal('-29.312002'), Decimal('-2.787097'))",F,hwangjeongja@gimgimgim.kr,괴산군,강이,간판 제작 및 설치원,28.76.45.170,1965-01-26,"Discover
성현 박
6530494275619519 07/28
CVC: 472
",12.624509230574098
23,박정남,510503-1811517,충청남도 양구군 학동598가 (건우박김면),"(Decimal('-41.4947795'), Decimal('117.451161'))",M,bagjunyeong@yu.com,안양시 동안구,(유) 김한최,화학공학 기술자 및 연구원,54.132.211.132,1957-11-10,"VISA 16 digit
아름 한
4187904830767950 04/29
CVC: 724
",36.09111917447995
24,백서현,950411-1037749,전라남도 공주시 반포대63로 (우진김지동),"(Decimal('-11.902222'), Decimal('-179.733275'))",M,iseoyun@live.com,양양군,(주) 박박강,건설 및 광업 단순 종사원,116.193.229.192,1958-08-04,"JCB 16 digit
명숙 최
3545212488165488 07/27
CVC: 529
",100.85305498797122
25,임유진,410102-1973946,경상남도 홍천군 역삼5가 (정남이최리),"(Decimal('56.6643425'), Decimal('73.890670'))",M,jihun25@gimigim.kr,시흥시,이김,여행 및 관광통역 안내원,68.227.201.218,1952-01-25,"Discover
서현 김
6011321749686931 06/25
CVC: 362
",8.77645608662174
26,백지연,750705-1497547,충청남도 속초시 잠실3로,"(Decimal('46.8626425'), Decimal('56.388212'))",F,seoyeongcoe@yu.org,홍성군,김전고,조명기사 및 영사기사,203.36.201.196,1968-10-25,"Diners Club / Carte Blanche
영자 김
30258187953409 05/26
CVC: 540
",13.460328044991636
27,한영환,430013-2872128,강원도 파주시 언주9가 (정순김면),"(Decimal('-86.694286'), Decimal('-59.227099'))",F,yeongmigim@yu.kr,천안시 동남구,이이최,건축 목공,76.132.193.197,1974-05-13,"Maestro
서준 김
676267883152 11/24
CVV: 392
",19.015055242121466
28,김영호,280116-2383044,강원도 예산군 석촌호수로,"(Decimal('-69.6944445'), Decimal('5.373177'))",F,yeonggilgim@heogimsin.net,안양시 만안구,(유) 홍,과수작물 재배원,153.138.241.209,1979-12-05,"JCB 15 digit
현준 박
180080717522985 12/25
CVC: 775
",37.39936126291283
29,남정웅,280621-1565546,충청남도 태백시 테헤란9거리,"(Decimal('-43.744130'), Decimal('166.220517'))",M,gyeongsugim@dreamwiz.com,하남시,유한회사 김,전자 부품 및 제품 제조 기계조작원,42.170.46.238,1996-03-24,"VISA 13 digit
옥자 손
4808821714120 09/23
CVC: 815
",62.960782018814164
30,김영호,410813-2634971,부산광역시 중랑구 잠실가,"(Decimal('15.741726'), Decimal('142.045249'))",F,gimseongho@bagi.com,정선군,이문,기타 주방장 및 조리사,31.6.90.89,1983-02-06,"Discover
동현 이
6011268702506202 06/21
CVC: 703
",46.80183318593758
31,김민지,080900-1266576,제주특별자치도 원주시 반포대가 (상훈김곽면),"(Decimal('-65.5667315'), Decimal('-141.898011'))",F,zi@live.com,괴산군,진황김,간호사,1.16.113.27,1966-08-11,"JCB 15 digit
하윤 홍
213106950711638 02/28
CVC: 647
",14.221306060046599
32,허지은,860403-1663411,인천광역시 송파구 백제고분로 (수빈이최읍),"(Decimal('-57.370961'), Decimal('41.210108'))",M,to@ju.kr,용인시 처인구,(주) 류,인문과학 연구원,191.137.228.198,1986-06-04,"JCB 16 digit
미정 나
3517711320635750 02/23
CVC: 028
",71.86669786931482
33,김현준,900507-1878124,세종특별자치시 도봉구 서초중앙09로 (순자이읍),"(Decimal('-64.7853455'), Decimal('175.631083'))",F,jieunbag@gmail.com,용인시 처인구,주식회사 강우이,자동차 정비원,38.117.29.39,1963-09-07,"VISA 16 digit
성호 박
4972732258214174 11/27
CVC: 753
",17.017747598769525
34,장현준,980524-2329094,서울특별시 강남구 학동35거리 (명자오마을),"(Decimal('83.5684885'), Decimal('-110.956768'))",M,jihye99@nate.com,하남시,유한회사 오,승강기 설치 및 정비원,114.249.69.214,1951-08-27,"Diners Club / Carte Blanche
민수 김
30361566356861 08/21
CVC: 512
",16.045874483949305
35,권채원,490316-2647351,세종특별자치시 송파구 선릉거리,"(Decimal('69.796601'), Decimal('60.713671'))",M,hyeonui@naver.com,청주시 흥덕구,(주) 이,영상 및 관련 장비 설치 및 수리원,49.168.149.52,1979-07-11,"VISA 16 digit
영순 김
4906715158854273 06/22
CVC: 171
",128.28610317565546
36,성영수,900404-1885019,경상남도 단양군 가락거리 (경수최리),"(Decimal('13.869727'), Decimal('-138.028601'))",M,ai@gmail.com,성남시 중원구,(주) 김최조,자연과학 연구원,180.252.188.30,1975-09-08,"American Express
지훈 이
379739493504290 03/24
CID: 0873
",5.352042408867449
37,서진우,550824-1755870,강원도 성남시 분당구 반포대283길 (채원황마을),"(Decimal('46.4971035'), Decimal('-59.730277'))",M,ogsun79@ryuimin.com,안양시 동안구,김이,응급구조사,35.100.11.127,1980-08-03,"Discover
정남 김
6531409395684754 04/28
CVC: 835
",47.71577984385169
38,곽순옥,040126-2258339,충청북도 강릉시 테헤란83가 (명숙우박동),"(Decimal('-46.262991'), Decimal('0.007987'))",M,ygim@hanmail.net,증평군,(유) 황,제빵원 및 제과원,171.165.130.66,1958-06-09,"Discover
혜진 이
6011799614422062 06/25
CVC: 837
",13.62117608686059
39,김지우,470705-2763806,인천광역시 동대문구 학동로 (성민김박읍),"(Decimal('76.750311'), Decimal('-80.464069'))",M,byeongceol71@naver.com,예산군,유한회사 손,환경공학 시험원,81.46.226.20,1953-05-13,"American Express
서윤 최
345074805056099 09/21
CID: 3784
",14.667771563062272
40,이지후,710726-1841429,대구광역시 은평구 서초대3로,"(Decimal('38.893165'), Decimal('-63.041731'))",M,sujinjang@jangnam.net,여주시,한김김,자동차 정비원,43.89.154.97,1987-09-24,"JCB 16 digit
민석 오
3594156033439072 03/23
CVC: 748
",20.151009762213743
41,신승현,450005-2322960,대전광역시 서구 강남대거리,"(Decimal('11.0686305'), Decimal('25.848860'))",M,zhan@gimogweon.com,용인시,남김고,부동산 컨설턴트 및 중개인,97.41.37.85,1978-09-16,"Diners Club / Carte Blanche
은정 박
30118436600237 07/30
CVC: 124
",6.11059302070658
42,김성현,110121-2684826,세종특별자치시 금천구 양재천0길 (건우조마을),"(Decimal('38.4229465'), Decimal('-163.712126'))",F,eunju79@ju.kr,안성시,김김,곡식작물 재배원,97.161.59.81,1997-01-20,"American Express
상현 박
372849595165002 11/25
CID: 6465
",7.214974605019158
43,박경숙,150917-1188831,세종특별자치시 용산구 오금로,"(Decimal('-13.242253'), Decimal('-133.026583'))",F,ijiu@jusighoesa.org,고성군,손윤서,안경사,141.205.76.157,1973-09-22,"JCB 15 digit
영일 김
180086951276220 06/24
CVC: 600
",7.035443166999118
44,김은영,310208-1084507,인천광역시 관악구 강남대0길 (정순김이동),"(Decimal('4.6601755'), Decimal('-154.141592'))",M,gimdonghyeon@gimyun.org,성남시 수정구,유윤황,식품/섬유 공학 및 에너지 시험원,157.160.151.8,1977-11-12,"Diners Club / Carte Blanche
영순 이
30123587268719 01/28
CVC: 198
",27.711650797192153
45,박상호,240414-2794351,경상남도 하남시 학동가 (주원김읍),"(Decimal('-67.665527'), Decimal('143.353417'))",F,eunjeongi@yuhanhoesa.com,안산시 단원구,김이박,생산 및 품질 관리 사무원,158.227.12.26,1992-05-16,"JCB 15 digit
은지 문
213147620919599 08/24
CVC: 227
",12.628733179770233
46,김현정,680420-1030707,전라남도 양주시 양재천길 (지영이박동),"(Decimal('79.680993'), Decimal('-178.674522'))",M,hyeonjun85@daum.net,평창군,(주) 장이김,공예원,116.156.183.183,1971-03-03,"VISA 16 digit
주원 김
4796468180771619 11/30
CVC: 557
",4.865160132476979
47,이경숙,850728-2129427,경상남도 평택시 개포가,"(Decimal('-39.4305425'), Decimal('121.226724'))",F,seungmini@jusighoesa.com,고양시 일산동구,김이최,영양사,37.78.165.107,1960-04-06,"Discover
순자 장
6011693297900975 09/25
CVC: 486
",27.49676979864031
48,이하은,780207-2428727,울산광역시 금천구 석촌호수로 (영순김박읍),"(Decimal('46.621287'), Decimal('-66.595713'))",M,vryu@hotmail.com,양평군,(유) 이,원예작물 재배원,80.235.52.49,1997-09-25,"JCB 15 digit
서연 김
213172820830040 10/22
CVC: 419
",16.860433923725996
49,황현준,550617-2890789,대전광역시 은평구 가락가 (춘자박읍),"(Decimal('-38.930873'), Decimal('-134.415901'))",F,si@hanmail.net,성남시 중원구,김남정,기타 식품가공관련 종사원,189.243.2.76,1959-12-14,"VISA 13 digit
우진 김
4515264333918 10/26
CVC: 313
",9.672010699788157
50,배미영,320716-2051934,인천광역시 마포구 도산대8거리 (명자장면),"(Decimal('-3.9482545'), Decimal('129.919188'))",M,mi@hanmail.net,의왕시,김한김,기타 운송장비 정비원,79.252.54.56,1975-03-19,"JCB 16 digit
정훈 이
3500426424931117 09/29
CVC: 025
",34.1247425901716
51,송서준,640309-2760839,전라북도 공주시 오금9길,"(Decimal('-69.0994775'), Decimal('-163.280286'))",M,byeongceolbag@jusighoesa.com,부천시 원미구,이심김,연예인 및 스포츠 매니저,212.54.15.227,1986-07-26,"Discover
주원 황
6527422310598799 02/30
CVC: 609
",13.179812804698045
52,김지연,350712-2897383,서울특별시 서초구 테헤란거리,"(Decimal('-39.2911085'), Decimal('38.398491'))",M,jeonghosim@naver.com,수원시 팔달구,김김손,소방공학 기술자 및 연구원,162.56.74.52,1957-07-19,"VISA 16 digit
정희 송
4753472416462622 03/22
CVC: 272
",51.448213726762035
53,강지민,020902-2259259,광주광역시 송파구 잠실로,"(Decimal('9.839375'), Decimal('50.625675'))",F,jihyeon02@live.com,고양시,윤이안,문리 및 어학 강사,114.183.118.113,1966-03-29,"Maestro
경숙 김
560197551255 08/24
CVV: 254
",16.703277917233972
54,김경자,590311-1585351,광주광역시 강서구 서초중앙길 (상철송안동),"(Decimal('-39.675463'), Decimal('-60.858630'))",M,gimmijeong@yu.com,삼척시,주식회사 김최강,수의사,113.214.163.219,1984-10-31,"Maestro
지아 구
676346378349 05/30
CVV: 083
",7.115920253261455
55,홍지영,600304-1749973,경상북도 태안군 테헤란가 (서영박김면),"(Decimal('-26.6228775'), Decimal('150.769989'))",M,iseongmin@daum.net,수원시 팔달구,(유) 정박배,감독 및 기술감독,217.72.204.207,1960-08-26,"VISA 16 digit
명숙 우
4268856053200782 02/23
CVC: 015
",4.281410179237399
56,김상훈,620400-1711855,충청남도 수원시 언주479가 (경자유마을),"(Decimal('16.0129635'), Decimal('40.742749'))",F,ohyeonu@yanggimbag.com,오산시,남김,화물열차 차장 및 관련 종사원,60.121.163.203,1966-09-09,"VISA 16 digit
은경 김
4640589671664456 07/21
CVC: 086
",11.901443195738972
57,나진우,380901-1792802,강원도 의정부시 압구정68로 (우진이면),"(Decimal('-27.7129105'), Decimal('17.878680'))",M,rgim@gwagca.kr,고양시 일산동구,조김,통신 및 방송송출 장비 기사,177.2.137.249,1997-08-01,"Maestro
하윤 강
581785010231 01/23
CVV: 829
",40.86030946284477
58,김현지,730800-2407340,인천광역시 서대문구 양재천로,"(Decimal('40.222774'), Decimal('18.610928'))",F,yeongsungim@sonigim.kr,수원시,(유) 양이박,기타 건설관련 기능 종사원,115.206.110.187,1999-11-08,"JCB 15 digit
도윤 김
213125623350665 10/30
CVC: 339
",27.488966605308576
59,김민지,110016-2274809,서울특별시 영등포구 언주76거리 (은주김리),"(Decimal('1.0662045'), Decimal('-32.811931'))",M,jinhogim@jusighoesa.kr,옥천군,(주) 허신문,정부행정 관리자,141.89.161.92,1952-09-02,"JCB 16 digit
지민 김
3578950264958861 10/27
CVC: 364
",12.749611736702986
60,김예진,430704-2898912,경상남도 수원시 팔달구 반포대0로 (민서서오마을),"(Decimal('49.9735165'), Decimal('68.735935'))",F,bageunjeong@daum.net,안산시,정김김,감정평가 전문가,39.98.59.205,1961-04-30,"VISA 19 digit
진호 이
4623870117769543186 07/28
CVC: 108
",128.91807320642297
61,김성수,160106-1642974,광주광역시 강북구 가락64길,"(Decimal('13.624308'), Decimal('-101.543338'))",F,jeongnam00@seoi.com,의정부시,장최,제분 및 도정 관련 기계 조작원,130.107.3.69,1987-08-12,"VISA 16 digit
민석 안
4958795126578714 02/30
CVC: 385
",8.228064908951117
62,이재현,870614-1973000,충청북도 오산시 논현거리,"(Decimal('-81.5096485'), Decimal('-81.931235'))",F,wgang@daum.net,성남시 중원구,(유) 박김이,기타 음식서비스 종사원,84.133.20.176,1973-05-31,"VISA 16 digit
지아 장
4869001728014374 05/23
CVC: 652
",68.57655567986185
63,이정웅,390907-2587202,경상남도 계룡시 도산대거리 (지민김면),"(Decimal('-36.0896875'), Decimal('-91.022058'))",M,gimyejun@nate.com,논산시,이박김,가축 사육 종사원,47.161.244.207,1957-03-30,"American Express
승민 홍
349837084415996 08/28
CID: 5482
",12.711900836587244
64,이도현,010925-1512300,전라북도 청주시 상당구 논현길 (건우김고리),"(Decimal('35.4631905'), Decimal('-146.333966'))",F,gimjeonghyi@naver.com,예산군,(유) 박백김,금형원,56.79.234.57,1986-10-13,"Diners Club / Carte Blanche
영진 이
30540011094058 10/30
CVC: 180
",59.31169863713511
65,김유진,620119-2824525,울산광역시 강서구 압구정449로,"(Decimal('38.7898375'), Decimal('139.909225'))",M,seongminca@dreamwiz.com,수원시 권선구,(주) 김,수의사,35.39.98.90,1982-05-23,"Mastercard
영식 박
2703103931758344 03/29
CVV: 854
",3.36022252980746
66,홍명숙,030312-1612963,전라남도 청주시 상당구 학동0거리,"(Decimal('-78.5734015'), Decimal('-77.190159'))",M,eunseo33@ju.kr,횡성군,황이,목제품 제조관련 종사원,215.190.212.57,1988-03-26,"VISA 16 digit
지아 김
4731404802703746 07/25
CVC: 679
",20.812361431925982
67,이성수,240507-2844773,경상남도 영동군 학동길 (명숙이읍),"(Decimal('-70.588990'), Decimal('-134.294950'))",F,sanghyeon53@yu.net,안산시 단원구,하성박,어부 및 해녀,187.114.149.180,1968-06-30,"VISA 16 digit
경수 류
4990589524690035 07/29
CVC: 612
",24.519668485437137
68,박정웅,670129-1895698,경상남도 태안군 압구정1가,"(Decimal('-65.8932475'), Decimal('-6.332024'))",M,fgim@yu.com,시흥시,주식회사 손,국가/지방 및 공공행정 사무원,181.67.125.70,1983-08-13,"JCB 16 digit
민수 김
3590097258877410 01/22
CVC: 425
",28.25449907618886
69,이영숙,660909-1782833,대구광역시 동대문구 백제고분길,"(Decimal('-89.690047'), Decimal('-26.173952'))",M,jeongnamgim@nate.com,하남시,이김조,운송관련 관리자,147.53.4.249,1964-08-18,"JCB 16 digit
성진 박
3597447897923583 12/21
CVC: 609
",10.165496132786048
70,김재호,480810-2964325,인천광역시 강남구 봉은사42길 (영숙윤서읍),"(Decimal('-54.606169'), Decimal('124.160783'))",M,hanyeonghwan@yu.org,평택시,유한회사 송박장,감독 및 기술감독,194.37.134.195,1984-10-18,"Diners Club / Carte Blanche
재현 박
30348315481314 06/29
CVC: 427
",13.249534350103561
71,차수빈,740023-1499073,부산광역시 강북구 선릉로 (지은김황마을),"(Decimal('-58.4862295'), Decimal('-93.028115'))",F,jeongjai@yuhanhoesa.kr,안양시,박박고,통계관련 사무원,152.5.3.3,1962-12-19,"American Express
예은 조
379728407471308 03/25
CID: 0282
",49.93529461547698
72,이정웅,020007-2768449,제주특별자치도 광주시 논현953가 (현준최김마을),"(Decimal('55.239612'), Decimal('128.003671'))",M,doyun02@hanmail.net,고성군,유한회사 홍조김,전기/전자 부품 및 제품 조립원,192.18.17.33,1990-03-01,"Mastercard
정웅 김
2484827695071727 12/21
CVV: 051
",27.61725382157885
73,최정식,150916-2035292,전라북도 의왕시 영동대가,"(Decimal('65.4098745'), Decimal('-4.220076'))",F,minseo31@live.com,홍천군,(유) 배박최,단조기 조작원,204.177.83.131,1966-12-26,"VISA 16 digit
상철 안
4634796487082843 08/26
CVC: 875
",7.713701028984144
74,김민재,780605-2879988,전라북도 화천군 서초대가 (도현최읍),"(Decimal('81.8386165'), Decimal('-173.052005'))",M,seunghyeon12@namjang.com,부천시 소사구,성고,금속 / 재료공학 시험원,2.45.2.107,1954-03-15,"Diners Club / Carte Blanche
정호 김
30544880585097 01/28
CVC: 879
",5.978098932142687
75,김지민,640315-2670737,경상남도 양양군 서초중앙183길 (정숙정최리),"(Decimal('13.6494175'), Decimal('96.496522'))",F,ominji@daum.net,증평군,김이이,상담 전문가 및 청소년 지도사,175.187.110.140,1990-02-08,"VISA 16 digit
재현 이
4316436245818312 04/30
CVC: 770
",87.90094206310629
76,심윤서,530608-2392691,인천광역시 강남구 서초대로 (정자김동),"(Decimal('-83.4223265'), Decimal('-19.883989'))",F,ijinu@jusighoesa.net,평택시,홍배황,기획 및 마케팅 사무원,3.219.66.69,1991-12-21,"JCB 15 digit
미경 이
180014366824475 12/24
CVC: 576
",22.849244154215935
77,김지훈,070611-2899768,부산광역시 남구 양재천0가 (정호김마을),"(Decimal('87.7147935'), Decimal('113.627805'))",F,egwag@nate.com,원주시,(주) 권,악기제조 및 조율사,184.67.58.68,1978-04-01,"VISA 13 digit
승민 서
4061347140061 11/27
CVC: 473
",20.08434238766745
78,황지민,210503-1162927,경상북도 양구군 석촌호수길,"(Decimal('9.051981'), Decimal('-20.498697'))",M,iseojun@nate.com,수원시,주식회사 박,기타 건축마감관련 기능 종사원,133.150.115.22,1970-12-07,"JCB 15 digit
성훈 이
180031305784834 11/27
CVC: 015
",206.09770878144317
79,오재현,420923-1137507,울산광역시 영등포구 역삼길 (지아유김면),"(Decimal('71.446908'), Decimal('-164.682082'))",M,li@naver.com,고성군,우한,소방공학 기술자 및 연구원,3.89.11.109,1998-01-05,"American Express
예진 김
371869563730125 01/26
CID: 9958
",60.653137506711595
80,이영호,510008-2457265,경기도 인제군 백제고분로 (옥순김리),"(Decimal('76.2252545'), Decimal('-14.442334'))",M,oyun@hanmail.net,청주시 청원구,주식회사 서황양,발전 및 배전장치 조작원,43.121.52.131,1976-03-11,"American Express
중수 고
340330035008762 01/26
CID: 3401
",18.326134298122522
81,한은정,430511-2525893,광주광역시 서대문구 잠실길,"(Decimal('79.901711'), Decimal('-53.157807'))",F,myeongja84@live.com,철원군,김이,아나운서 및 리포터,20.113.43.251,1984-10-24,"Discover
병철 정
6011841413053456 02/25
CVC: 299
",14.744594074508713
82,김유진,430619-1445279,충청남도 과천시 역삼가,"(Decimal('89.519680'), Decimal('63.079382'))",M,yeeun71@gweongim.net,광주시,김이,회계 사무원,112.74.95.46,1957-09-18,"VISA 16 digit
재현 강
4480723487947457 09/29
CVC: 196
",13.602743875617644
83,김하은,530507-2989451,전라북도 남양주시 서초중앙7로 (혜진박면),"(Decimal('32.172536'), Decimal('-103.555799'))",M,coehyeonu@hongi.org,용인시 수지구,(주) 고백이,화학제품 생산기 조작원,87.209.150.153,1952-06-07,"JCB 16 digit
혜진 박
3566609368911333 09/23
CVC: 192
",19.075495275564492
84,민미정,170208-1049171,인천광역시 강동구 오금길 (정자이장리),"(Decimal('-89.3169155'), Decimal('64.324006'))",M,seonyeonggim@hanmail.net,수원시 팔달구,서김이,전기 부품 및 제품제조 기계조작원,190.179.75.96,1960-04-24,"American Express
병철 차
371222010419068 08/29
CID: 5980
",9.87161185260548
85,김춘자,170713-2047942,전라북도 안양시 개포013가,"(Decimal('53.055274'), Decimal('-42.980807'))",F,li@daum.net,영동군,유한회사 김이이,기타 식품가공관련 기계조작원,60.89.255.233,1996-10-08,"VISA 16 digit
정수 최
4737813365729407 11/21
CVC: 993
",58.88200747634668
86,류도현,990814-2182970,인천광역시 노원구 석촌호수71가 (경수김동),"(Decimal('-40.172715'), Decimal('148.250316'))",F,rryu@yu.com,진천군,양배이,승강기 설치 및 정비원,141.87.140.191,1965-06-25,"VISA 16 digit
은정 조
4577584271301341 09/29
CVC: 957
",29.066991590754824
87,김서준,360229-2224645,경상남도 용인시 수지구 반포대로,"(Decimal('-20.181499'), Decimal('-152.306159'))",F,junyeong87@gmail.com,영월군,김허,위관급,175.10.152.109,1991-05-30,"JCB 15 digit
지우 장
213120430514181 04/31
CVC: 139
",41.47164582140489
88,정광수,700724-1384776,제주특별자치도 서천군 양재천8길,"(Decimal('-66.352906'), Decimal('-47.312677'))",M,bi@hanmail.net,청주시 청원구,김김김,환경/청소 및 경비 관련 관리자,33.84.54.119,1955-10-15,"Maestro
미정 김
630436429066 10/23
CVV: 406
",32.83106587886432
89,김정순,560314-2779942,세종특별자치시 도봉구 서초대가,"(Decimal('33.971049'), Decimal('-33.457102'))",F,vgim@nate.com,청양군,유한회사 이,감정평가 전문가,117.87.65.152,1959-11-06,"JCB 15 digit
은지 조
180016855850366 03/22
CVC: 705
",34.756795149282524
90,백현주,950718-2260047,광주광역시 금천구 봉은사179길 (서현김마을),"(Decimal('67.0398125'), Decimal('-23.522598'))",M,yeongmi52@naver.com,부천시 원미구,(유) 박이문,매표원 및 복권 판매원,12.97.234.190,1960-10-06,"JCB 16 digit
정숙 황
3573367466133919 03/25
CVC: 524
",12.34917254007691
